path,yyyymmdd,status,rows
C:\Users\wyao2\Dropbox\2000\20000103.csv.gz,20000103,ok,3946
C:\Users\wyao2\Dropbox\2000\20000104.csv.gz,20000104,ok,3948
C:\Users\wyao2\Dropbox\2000\20000105.csv.gz,20000105,ok,3945
C:\Users\wyao2\Dropbox\2000\20000106.csv.gz,20000106,ok,3944
C:\Users\wyao2\Dropbox\2000\20000107.csv.gz,20000107,ok,3941
C:\Users\wyao2\Dropbox\2000\20000110.csv.gz,20000110,ok,3940
C:\Users\wyao2\Dropbox\2000\20000111.csv.gz,20000111,ok,3940
C:\Users\wyao2\Dropbox\2000\20000112.csv.gz,20000112,ok,3942
C:\Users\wyao2\Dropbox\2000\20000113.csv.gz,20000113,ok,3940
C:\Users\wyao2\Dropbox\2000\20000114.csv.gz,20000114,ok,3940
C:\Users\wyao2\Dropbox\2000\20000118.csv.gz,20000118,ok,3938
C:\Users\wyao2\Dropbox\2000\20000119.csv.gz,20000119,ok,3937
C:\Users\wyao2\Dropbox\2000\20000120.csv.gz,20000120,ok,3937
C:\Users\wyao2\Dropbox\2000\20000121.csv.gz,20000121,ok,3937
C:\Users\wyao2\Dropbox\2000\20000124.csv.gz,20000124,ok,3937
C:\Users\wyao2\Dropbox\2000\20000125.csv.gz,20000125,ok,3935
C:\Users\wyao2\Dropbox\2000\20000126.csv.gz,20000126,ok,3934
C:\Users\wyao2\Dropbox\2000\20000127.csv.gz,20000127,ok,3934
C:\Users\wyao2\Dropbox\2000\20000128.csv.gz,20000128,ok,3930
C:\Users\wyao2\Dropbox\2000\20000131.csv.gz,20000131,ok,3931
C:\Users\wyao2\Dropbox\2000\20000201.csv.gz,20000201,ok,3929
C:\Users\wyao2\Dropbox\2000\20000202.csv.gz,20000202,ok,3930
C:\Users\wyao2\Dropbox\2000\20000203.csv.gz,20000203,ok,3933
C:\Users\wyao2\Dropbox\2000\20000204.csv.gz,20000204,ok,3927
C:\Users\wyao2\Dropbox\2000\20000207.csv.gz,20000207,ok,3926
C:\Users\wyao2\Dropbox\2000\20000208.csv.gz,20000208,ok,3923
C:\Users\wyao2\Dropbox\2000\20000209.csv.gz,20000209,ok,3924
C:\Users\wyao2\Dropbox\2000\20000210.csv.gz,20000210,ok,3923
C:\Users\wyao2\Dropbox\2000\20000211.csv.gz,20000211,ok,3921
C:\Users\wyao2\Dropbox\2000\20000214.csv.gz,20000214,ok,3919
C:\Users\wyao2\Dropbox\2000\20000215.csv.gz,20000215,ok,3921
C:\Users\wyao2\Dropbox\2000\20000216.csv.gz,20000216,ok,3924
C:\Users\wyao2\Dropbox\2000\20000217.csv.gz,20000217,ok,3924
C:\Users\wyao2\Dropbox\2000\20000218.csv.gz,20000218,ok,3921
C:\Users\wyao2\Dropbox\2000\20000222.csv.gz,20000222,ok,3919
C:\Users\wyao2\Dropbox\2000\20000223.csv.gz,20000223,ok,3917
C:\Users\wyao2\Dropbox\2000\20000224.csv.gz,20000224,ok,3917
C:\Users\wyao2\Dropbox\2000\20000225.csv.gz,20000225,ok,3917
C:\Users\wyao2\Dropbox\2000\20000228.csv.gz,20000228,ok,3916
C:\Users\wyao2\Dropbox\2000\20000229.csv.gz,20000229,ok,3908
C:\Users\wyao2\Dropbox\2000\20000301.csv.gz,20000301,ok,3906
C:\Users\wyao2\Dropbox\2000\20000302.csv.gz,20000302,ok,3907
